TPX,TPY,TPZ,TVX,TVY,TVZ
0.0,0.0,1.8016738380632953,0.0,0.0,0.20221852319278977
0.0,0.0,1.8036755799548074,0.0,0.0,0.20017418915122137
0.0,0.0,1.805657215016629,0.0,0.0,0.19816350618215756
0.0,0.0,1.807619055955246,0.0,0.0,0.19618409386169894
0.0,0.0,1.8095613878916326,0.0,0.0,0.19423319363865804
0.0,0.0,1.811484466304615,0.0,0.0,0.19230784129822648
0.0,0.0,1.8133885167545665,0.0,0.0,0.19040504499513505
0.0,0.0,1.815273736049654,0.0,0.0,0.18852192950875696
0.0,0.0,1.8171402950325657,0.0,0.0,0.18665589829114387
0.0,0.0,1.818988342643919,0.0,0.0,0.1848047611353415
0.0,0.0,1.8208180099819082,0.0,0.0,0.18296673379893386
0.0,0.0,1.822629415813029,0.0,0.0,0.18114058311205655
0.0,0.0,1.8244226712003568,0.0,0.0,0.17932553873280882
0.0,0.0,1.8261978848088098,0.0,0.0,0.17752136084530956
0.0,0.0,1.8279551670586822,0.0,0.0,0.17572822498723772
0.0,0.0,1.8296946338839466,0.0,0.0,0.17394668252643564
0.0,0.0,1.8314164099514398,0.0,0.0,0.17217760674934407
0.0,0.0,1.8331206303977132,0.0,0.0,0.17042204462733268
0.0,0.0,1.8348074423592466,0.0,0.0,0.16868119615335347
0.0,0.0,1.8364770048343773,0.0,0.0,0.1669562475130405
0.0,0.0,1.8381294886748507,0.0,0.0,0.16524838404733305
0.0,0.0,1.8397650748590766,0.0,0.0,0.16355861842258235
0.0,0.0,1.841383952843577,0.0,0.0,0.1618877984500215
0.0,0.0,1.8429863184650164,0.0,0.0,0.1602365621439319
0.0,0.0,1.8445723715105102,0.0,0.0,0.1586053045494073
0.0,0.0,1.846142313077237,0.0,0.0,0.15699415667265476
0.0,0.0,1.8476963433760467,0.0,0.0,0.15540302988096732
0.0,0.0,1.8492346593309361,0.0,0.0,0.15383159548894787
0.0,0.0,1.8507574527621027,0.0,0.0,0.15227934311667757
0.0,0.0,1.8522649089062604,0.0,0.0,0.15074561441578443
0.0,0.0,1.8537572051530171,0.0,0.0,0.14922962467569362
0.0,0.0,1.8552345107984203,0.0,0.0,0.14773056454032457
0.0,0.0,1.8566969865244793,0.0,0.0,0.14624757260592675
0.0,0.0,1.8581447850529016,0.0,0.0,0.14477985284224126
0.0,0.0,1.8595780512894953,0.0,0.0,0.14332662365935767
0.0,0.0,1.8609969233995494,0.0,0.0,0.14188721100542512
0.0,0.0,1.8624015339174402,0.0,0.0,0.14046105178909574
0.0,0.0,1.8637920110241248,0.0,0.0,0.13904771066848004
0.0,0.0,1.8651684798659733,0.0,0.0,0.13764688418482995
0.0,0.0,1.8665310635188592,0.0,0.0,0.13625836528860252
0.0,0.0,1.8678798842485898,0.0,0.0,0.13488207297303434
0.0,0.0,1.8692150646795418,0.0,0.0,0.13351804309519882
0.0,0.0,1.8705367283393142,0.0,0.0,0.13216636597723225
0.0,0.0,1.871845000353773,0.0,0.0,0.13082720144588533
